trip_id,vendor_id,base_inr,km_inr,wait_inr,total_inr
T001808,V04,193,421,29,643
T001809,V09,165,452,37,654
T001810,V12,197,261,47,505
T001811,V08,146,320,52,518
T998892,V05,147,230,16,393
T001813,V10,138,379,43,560
T001814,V11,179,249,63,491
T001815,V08,188,420,52,660
T001816,V10,184,541,39,764
T001817,V06,155,483,69,707
T001818,V12,122,203,60,385
T001819,V08,123,439,50,612
T001820,V03,140,257,63,460
T001821,V09,159,399,14,572
T001822,V02,195,553,57,805
T001823,V12,190,474,46,710
T001824,V07,198,112,139,449
T001825,V03,191,483,31,705
T001826,V07,174,353,101,628
T001827,V03,172,296,22,490
T001828,V01,183,409,66,658
T001829,V01,162,238,32,432
T001830,V12,157,595,47,799
T001831,V11,175,483,48,706
T001832,V06,127,449,37,613
T001833,V07,179,536,192,907
T001834,V04,143,629,66,838
T001835,V05,159,196,38,393
T001836,V04,144,319,48,511
T001837,V02,184,608,65,857
T001838,V04,198,408,55,661
T001839,V05,196,266,53,515
T001840,V11,153,270,35,458
T001841,V07,155,133,63,351
T001842,V07,161,389,146,696
T001843,V01,135,598,45,778
T001844,V05,123,124,59,306
T001845,V09,132,293,12,437
T001846,V04,146,322,23,491
T001847,V11,128,234,17,379
T001848,V03,150,514,43,707
T001849,V08,187,282,40,509
T001850,V03,152,558,56,766
T001851,V01,184,290,12,486
T001852,V01,155,412,61,628
T001853,V09,170,414,33,617
T001854,V10,164,187,57,408
T001855,V04,135,353,61,549
T001856,V07,171,435,102,708
T001857,V06,120,303,64,487
T001858,V05,151,589,11,751
T001859,V07,198,154,144,496
T001860,V03,197,427,39,663
T001861,V11,126,631,24,781
T001862,V12,146,367,39,552
T001863,V10,174,182,36,392
T001864,V05,124,639,48,811
T001865,V01,181,349,24,554
T001866,V06,132,468,54,654
T001867,V04,182,375,48,605
T001868,V04,190,386,45,621
T001869,V09,197,573,22,792
T001870,V08,158,416,26,600
T001871,V03,183,138,15,336
T001872,V10,140,203,33,376
T001873,V09,134,503,49,686
T001874,V10,145,207,23,375
T001875,V11,139,249,12,400
T001876,V05,183,273,67,523
T001877,V11,178,149,31,358
T001878,V11,157,636,22,815
T001879,V10,120,601,49,770
T001880,V05,176,482,21,679
T001881,V10,176,184,42,402
T001882,V08,147,338,47,532
T001883,V05,153,586,21,760
T001884,V12,167,201,33,401
T001885,V04,185,582,57,824
T001886,V03,195,262,67,524
T001887,V09,181,406,67,654
T001888,V11,124,534,66,724
T001889,V05,197,599,11,807
T001890,V02,189,223,42,454
T001891,V09,196,412,36,644
T001892,V09,161,358,19,538
T001893,V12,158,176,11,345
T001894,V11,195,536,25,756
T001895,V03,144,547,40,731
T001896,V02,180,150,45,375
T001897,V09,155,403,29,587
T001898,V01,165,405,44,614
T001899,V02,161,457,36,654
T001900,V04,168,536,17,721
T001901,V12,198,524,10,732
T001902,V05,194,538,28,760
T001903,V09,143,407,60,610
T001904,V12,172,280,11,463
T001905,V09,182,407,36,625
T001906,V02,141,528,64,733
T001907,V02,131,514,58,703
T001908,V03,161,196,46,403
T001909,V03,132,299,68,499
T001910,V04,148,148,23,319
T001911,V07,166,532,102,800
T001912,V09,135,371,34,540
T001913,V04,120,129,50,299
T001914,V08,138,420,44,602
T001915,V06,159,467,20,646
T001916,V04,192,195,32,419
T001917,V08,124,144,17,285
T001918,V06,157,341,64,562
T001919,V03,167,305,23,495
T001920,V05,186,471,67,724
T001921,V01,151,345,57,553
T001922,V03,192,337,42,571
T001923,V04,167,636,41,844
T001924,V01,120,554,21,695
T001925,V01,147,329,43,519
T001926,V05,193,152,38,383
T001927,V06,168,450,33,651
T001928,V03,137,579,45,761
T001929,V12,167,227,69,463
T001930,V09,130,488,64,682
T001931,V07,161,161,125,447
T001932,V04,126,421,42,589
T001933,V08,188,531,41,760
T001934,V07,163,414,82,659
T001935,V04,156,385,43,584
T997547,V10,136,351,50,537
T992317,V07,192,424,122,738
T001938,V05,131,591,32,754
T001939,V04,135,166,56,357
T001940,V04,187,228,40,455
T001941,V09,158,298,46,502
T001942,V10,124,330,10,464
T001943,V09,130,125,69,324
T001944,V07,177,246,73,496
T001945,V04,155,348,63,566
T001946,V06,123,182,10,315
T001947,V09,161,385,10,556
T001948,V02,123,203,53,379
T001949,V01,143,477,43,663
T001950,V03,196,435,17,648
T001951,V09,129,575,28,732
T001952,V11,141,484,58,683
T001953,V01,198,129,48,375
T994409,V05,189,628,61,878
T001955,V05,120,377,12,509
T001956,V03,189,473,67,729
T001957,V01,123,352,38,513
T001958,V06,160,225,35,420
T001959,V11,150,548,10,708
T001960,V11,177,444,28,649
T001961,V12,197,319,56,572
T001962,V12,146,506,11,663
T001963,V12,125,487,51,663
T001964,V09,140,293,68,501
T001965,V11,157,259,46,462
T001966,V07,131,483,62,676
T001967,V08,126,583,58,767
T001968,V08,199,180,35,414
T001969,V12,197,317,69,583
T001970,V05,142,183,61,386
T001971,V02,126,500,28,654
T001972,V06,189,424,36,649
T001973,V09,144,122,62,328
T001974,V03,126,227,64,417
T001975,V07,173,577,72,822
T001976,V02,121,210,62,393
T001977,V09,176,365,24,565
T001978,V09,157,324,13,494
T001979,V04,142,128,48,318
T001980,V10,180,413,68,661
T001981,V03,168,390,65,623
T001982,V05,180,136,53,369
T001983,V10,133,441,27,601
T001984,V04,123,215,14,352
T001985,V03,170,558,48,776
T001986,V06,192,665,44,901
T001987,V11,131,310,63,504
T001988,V09,198,165,50,413
T001989,V03,168,442,36,646
T001990,V04,138,435,22,595
T001991,V10,187,201,64,452
T001992,V06,162,259,64,485
T001993,V08,166,186,39,391
T001994,V09,157,182,44,383
T001995,V11,144,434,44,622
T001996,V10,183,192,16,391
T001997,V07,198,535,100,833
T001998,V09,179,306,43,528
T001999,V02,163,510,42,715
T002000,V08,193,286,34,513
T002001,V11,186,175,34,395
T002002,V02,168,613,66,847
T002003,V10,120,286,23,429
T002004,V02,170,402,44,616
T002005,V12,197,302,64,563
T002006,V02,196,271,47,514
T002007,V06,161,454,48,663
T002008,V05,172,360,14,546
T002009,V06,121,189,11,321
T002010,V06,131,507,63,701
T002011,V06,128,292,17,437
T002012,V09,195,317,48,560
T002013,V09,120,472,57,649
T002014,V09,128,316,12,456
T002015,V08,185,362,39,586
T002016,V06,184,205,34,423
T002017,V11,182,334,54,570
T002018,V01,133,228,37,398
T002019,V05,189,364,38,591
T002020,V09,183,318,22,523
T002021,V08,133,313,10,456
T002022,V03,171,569,53,793
T002023,V09,175,374,42,591
T002024,V01,169,550,52,771
T002025,V08,182,160,38,380
T002026,V12,127,604,53,784
T002027,V06,145,452,41,638
T994880,V04,153,499,60,712
T002029,V06,177,493,16,686
T002030,V05,172,459,20,651
T002031,V07,184,349,198,731
T002032,V08,146,558,20,724
T002033,V10,186,616,24,826
T002034,V05,163,363,57,583
T002035,V12,163,450,63,676
T002036,V09,138,229,47,414
T002037,V12,144,282,26,452
T002038,V03,199,389,59,647
T002039,V09,176,254,30,460
T002040,V04,121,512,61,694
T002041,V05,196,122,62,380
T002042,V01,178,411,43,632
T002043,V03,142,464,63,669
T002044,V02,199,533,38,770
T002045,V04,149,501,41,691
T002046,V01,173,316,36,525
T002047,V01,159,505,37,701
T002048,V01,157,165,62,384
T002049,V11,166,238,39,443
T002050,V04,144,608,49,801
T002051,V01,163,199,43,405
T002052,V09,194,371,60,625
T002053,V10,149,367,45,561
T002054,V07,194,656,163,1013
T002055,V11,155,174,51,380
T002056,V09,128,482,32,642
T002057,V03,133,490,43,666
T002058,V02,126,384,30,540
T002059,V05,198,252,63,513
T002060,V06,159,217,43,419
T002061,V07,132,559,52,743
T002062,V12,123,131,14,268
T002063,V11,166,139,22,327
T002064,V04,136,222,55,413
T002065,V12,133,413,54,600
T002066,V05,178,329,31,538
T002067,V07,171,247,137,555
T002068,V09,195,114,49,358
T002069,V11,150,497,36,683
T002070,V12,123,246,61,430
T002071,V04,149,342,27,518
T002072,V08,169,327,54,550
T002073,V10,137,496,51,684
T002074,V01,191,498,54,743
T002075,V07,165,531,176,872
T002076,V02,193,208,14,415
T002077,V09,175,350,63,588
T002078,V10,198,425,53,676
T002079,V11,188,155,38,381
T002080,V11,181,439,69,689
T002081,V02,167,147,28,342
T002082,V02,169,360,23,552
T002083,V09,121,263,38,422
T002084,V05,157,349,13,519
T002085,V05,178,460,14,652
T002086,V11,160,559,23,742
T002087,V01,191,426,31,648
T002088,V06,130,193,25,348
T002089,V09,177,322,16,515
T002090,V09,132,514,21,667
T002091,V04,123,354,29,506
T002092,V03,188,174,30,392
T002093,V08,196,572,43,811
T002094,V03,190,425,33,648
T002095,V09,193,629,62,884
T002096,V12,179,133,13,325
T002097,V07,156,308,160,624
T002098,V09,133,544,16,693
T002099,V07,159,450,47,656
T002100,V07,192,341,152,685
T002101,V08,169,435,60,664
T002102,V04,147,271,67,485
T990039,V12,183,240,63,486
T002104,V07,157,577,156,890
T002105,V11,126,304,65,495
T002106,V07,125,630,63,818
T002107,V10,148,180,23,351
T002108,V06,181,472,17,670
T002109,V02,135,236,34,405
T002110,V12,186,224,33,443
T002111,V06,168,406,59,633
T002112,V10,171,286,48,505
T002113,V07,165,124,180,469
T002114,V12,128,324,57,509
T002115,V10,194,424,22,640
T002116,V07,188,654,61,903
T002117,V12,143,275,29,447
T002118,V05,156,524,13,693
T002119,V03,199,206,61,466
T002120,V04,199,177,66,442
T002121,V01,189,496,23,708
T002122,V06,174,310,13,497
T002123,V06,142,196,43,381
T002124,V07,139,456,140,735
T002125,V09,163,313,58,534
T002126,V01,163,350,15,528
T002127,V12,174,595,10,779
T002128,V04,134,336,24,494
T002129,V10,185,202,37,424
T002130,V12,123,201,11,335
T002131,V02,156,466,26,648
T002132,V02,150,175,56,381
T002133,V07,182,446,152,780
T002134,V01,164,602,61,827
T002135,V11,176,567,11,754
T002136,V02,139,589,15,743
T002137,V09,191,547,44,782
T002138,V06,124,284,50,458
T002139,V01,145,497,27,669
T002140,V10,195,567,40,802
T002141,V12,124,505,36,665
T002142,V08,131,429,43,603
T002143,V02,163,360,44,567
T002144,V12,123,612,58,793
T002145,V07,130,371,126,627
T002146,V01,165,202,55,422
T002147,V09,159,284,33,476
T002148,V08,196,575,27,798
T002149,V12,137,431,42,610
T002150,V07,179,389,185,753
T002151,V07,170,543,123,836
T002152,V06,186,324,49,559
T002153,V09,167,364,40,571
T002154,V11,154,414,53,621
T002155,V05,156,407,49,612
T002156,V03,141,506,44,691
T002157,V10,193,290,42,525
T002158,V04,121,639,63,823
T002159,V08,154,511,26,691
T002160,V01,155,352,32,539
T995906,V02,176,140,37,353
T002162,V01,169,133,60,362
T002163,V12,175,197,17,389
T002164,V02,132,507,21,660
T002165,V11,160,644,47,851
T002166,V11,189,387,38,614
T002167,V09,133,355,15,503
T002168,V03,153,396,58,607
T002169,V03,190,537,65,792
T002170,V02,193,553,20,766
T002171,V07,171,217,96,484
T002172,V06,192,298,52,542
T002173,V03,130,494,50,674
T002174,V03,146,370,55,571
T002175,V11,134,299,31,464
T002176,V03,198,625,52,875
T002177,V10,145,289,60,494
T002178,V03,141,220,23,384
T002179,V10,155,596,17,768
T002180,V08,152,624,56,832
T002181,V09,143,157,43,343
T002182,V12,140,275,58,473
T002183,V08,172,500,66,738
T002184,V08,193,644,46,883
T002185,V10,178,479,25,682
T002186,V12,190,390,39,619
T002187,V11,193,655,22,870
T002188,V02,127,401,48,576
T002189,V04,125,476,68,669
T002190,V06,191,306,15,512
T002191,V07,172,482,40,694
T002192,V01,157,388,42,587
T002193,V07,133,383,41,557
T002194,V08,187,438,17,642
T002195,V03,194,402,69,665
T002196,V10,153,510,13,676
T002197,V05,158,116,48,322
T002198,V10,158,191,21,370
T002199,V01,120,241,42,403
T002200,V07,159,241,118,518
T002201,V11,174,411,54,639
T002202,V11,182,270,64,516
T002203,V03,146,126,47,319
T002204,V08,140,380,14,534
T002205,V05,184,603,60,847
T002206,V10,142,390,45,577
T002207,V10,181,472,50,703
T002208,V07,139,241,124,504
T002209,V07,193,133,53,379
T002210,V02,147,175,46,368
T002211,V01,181,204,15,400
T002212,V06,121,390,17,528
T002213,V11,174,341,54,569
T998913,V08,194,308,50,552
T002215,V12,172,363,61,596
T002216,V10,183,333,26,542
T002217,V10,196,354,68,618
T002218,V01,154,514,13,681
T002219,V08,157,578,38,773
T002220,V09,157,590,12,759
T002221,V08,156,596,53,805
T002222,V05,170,551,25,746
T002223,V09,191,559,41,791
T002224,V09,148,235,32,415
T002225,V03,174,403,55,632
T002226,V04,136,247,15,398
T002227,V08,155,154,51,360
T994485,V12,189,187,61,437
T002229,V12,192,230,14,436
T002230,V07,172,137,181,490
T002231,V10,137,598,68,803
T002232,V08,193,458,41,692
T002233,V08,175,367,19,561
T002234,V07,132,275,133,540
T002235,V07,150,178,96,424
T002236,V03,184,606,16,806
T999426,V05,165,274,49,488
T002238,V02,179,338,20,537
T002239,V11,124,130,53,307
T002240,V01,186,384,12,582
T002241,V01,165,615,57,837
T002242,V09,133,323,49,505
T002243,V03,186,146,18,350
T002244,V01,165,638,33,836
T002245,V12,151,144,43,338
T002246,V09,196,487,50,733
T002247,V12,162,423,52,637
T002248,V02,196,523,42,761
T002249,V11,190,555,38,783
T002250,V07,196,407,97,700
T002251,V04,131,653,54,838
T002252,V03,188,548,11,747
T002253,V11,137,428,34,599
T002254,V05,189,274,24,487
T002255,V06,140,406,38,584
T002256,V02,131,334,68,533
T002257,V02,182,114,16,312
T002258,V03,133,602,66,801
T002259,V07,154,619,87,860
T002260,V03,193,175,67,435
T002261,V09,180,124,33,337
T002262,V12,130,553,22,705
T002263,V05,156,348,65,569
T002264,V12,156,609,24,789
T002265,V12,194,141,12,347
T002266,V06,172,566,16,754
T002267,V08,128,469,41,638
T002268,V01,138,424,34,596
T002269,V05,189,569,47,805
T002270,V08,136,142,64,342
T002271,V10,134,576,69,779
T002272,V04,177,197,56,430
T002273,V05,149,557,17,723
T002274,V07,141,333,196,670
T002275,V04,140,432,24,596
T002276,V02,121,350,16,487
T002277,V03,120,486,12,618
T002278,V05,129,474,33,636
T002279,V10,160,388,44,592
T002280,V03,152,331,21,504
T002281,V03,148,199,48,395
T002282,V05,140,614,63,817
T002283,V09,144,387,25,556
T002284,V05,132,178,25,335
T002285,V01,184,503,20,707
T993962,V02,195,507,26,728
T002287,V09,169,231,41,441
T002288,V04,136,348,62,546
T002289,V03,148,443,49,640
T002290,V09,173,169,31,373
T002291,V09,156,264,31,451
T002292,V03,156,221,60,437
T002293,V07,133,310,50,493
T995638,V01,131,458,59,648
T002295,V06,179,531,59,769
T002296,V04,149,582,51,782
T002297,V03,160,574,31,765
T002298,V09,156,142,11,309
T002299,V06,121,254,26,401
T002300,V09,189,318,52,559
T002301,V06,153,413,37,603
T002302,V01,150,442,30,622
T002303,V02,177,576,37,790
T002304,V08,177,352,39,568
T002305,V02,193,524,43,760
T002306,V09,190,385,51,626
T002307,V06,142,297,67,506
T002308,V07,139,350,76,565
T002309,V08,139,283,63,485
T002310,V06,141,482,17,640
T002311,V08,146,202,24,372
T002312,V03,182,351,36,569
T002313,V09,186,415,10,611
T002314,V09,175,305,53,533
T002315,V12,144,411,26,581
T002316,V04,156,361,44,561
T002317,V02,127,581,62,770
T002318,V02,189,473,41,703
T002319,V07,154,264,147,565
T002320,V05,185,251,20,456
T002321,V06,174,429,58,661
T002322,V09,146,427,47,620
T002323,V12,179,125,45,349
T002324,V01,181,203,30,414
T002325,V02,186,359,58,603
T002326,V06,121,537,49,707
T002327,V01,141,389,27,557
T002328,V01,141,315,18,474
T002329,V06,131,292,10,433
T002330,V10,124,316,28,468
T002331,V10,187,258,40,485
T002332,V03,170,465,52,687
T002333,V04,126,189,66,381
T002334,V02,149,283,67,499
T002335,V10,175,442,47,664
T002336,V01,166,435,69,670
T002337,V07,188,144,162,494
T002338,V05,159,531,44,734
T002339,V12,124,473,50,647
T002340,V01,157,177,18,352
T002341,V01,160,220,39,419
T002342,V12,166,136,10,312
T002343,V08,131,534,49,714
T002344,V04,169,530,59,758
T002345,V06,140,160,56,356
T002346,V05,146,534,62,742
T002347,V01,137,644,64,845
T991146,V10,196,615,48,859
T002349,V01,121,422,46,589
T002350,V03,155,233,41,429
T002351,V10,150,424,25,599
T002352,V07,196,627,89,912
T002353,V03,164,360,42,566
T002354,V08,125,494,37,656
T002355,V02,144,160,38,342
T993941,V09,198,397,65,660
T002357,V11,198,191,18,407
T002358,V11,162,623,12,797
T002359,V02,139,389,25,553
T002360,V01,124,477,49,650
T002361,V05,174,252,44,470
T002362,V11,165,298,31,494
T002363,V04,150,294,14,458
T002364,V12,147,564,57,768
T002365,V02,149,399,57,605
T002366,V02,133,156,58,347
T002367,V05,199,500,18,717
T002368,V10,163,274,49,486
T002369,V08,129,186,29,344
T002370,V02,192,611,46,849
T002371,V08,164,540,26,730
T002372,V04,170,365,30,565
T002373,V08,184,410,40,634
T002374,V06,198,627,33,858
T002375,V10,179,153,33,365
T002376,V09,166,208,35,409
T002377,V04,130,296,23,449
T994570,V05,148,609,14,771
T002379,V05,171,329,38,538
T002380,V12,188,610,44,842
T002381,V09,141,276,38,455
T002382,V04,129,502,48,679
T002383,V01,191,324,31,546
T002384,V04,170,458,10,638
T002385,V03,124,523,43,690
T002386,V03,155,338,35,528
T002387,V08,173,622,58,853
T002388,V10,184,198,42,424
T002389,V04,194,439,42,675
T002390,V12,151,242,10,403
T002391,V09,121,130,50,301
T997399,V08,146,404,53,603
T002393,V11,126,413,35,574
T002394,V04,121,155,44,320
T002395,V06,198,153,58,409
T002396,V08,179,201,38,418
T002397,V02,197,222,18,437
T002398,V04,149,574,13,736
T002399,V06,165,343,35,543
T002400,V01,157,556,26,739
T002401,V12,134,451,43,628
T002402,V07,177,524,164,865
T002403,V10,149,475,20,644
T002404,V08,180,467,51,698
T002405,V07,137,560,115,812
T002406,V04,145,565,35,745
T002407,V03,131,136,13,280
T002408,V12,188,199,27,414
T002409,V11,155,567,26,748
T002410,V03,182,311,24,517
T002411,V03,183,521,27,731
T002412,V07,167,444,63,674
T002413,V11,166,539,53,758
T002414,V12,180,593,18,791
T002415,V11,190,434,13,637
T002416,V03,120,383,34,537
T002417,V06,163,400,32,595
T002418,V03,188,285,54,527
T002419,V01,145,604,33,782
T002420,V04,144,419,35,598
T002421,V07,158,310,56,524
T991957,V04,145,627,19,791
T002423,V03,190,502,25,717
T002424,V08,187,329,49,565
T002425,V06,184,329,64,577
T002426,V09,189,192,12,393
T002427,V06,143,170,32,345
T002428,V11,175,389,69,633
T002429,V01,156,450,17,623
T002430,V12,152,224,24,400
T002431,V10,136,370,31,537
T002432,V01,133,360,29,522
T002433,V01,176,196,28,400
T002434,V01,163,134,40,337
T002435,V04,178,392,37,607
T002436,V11,128,364,54,546
T002437,V08,125,320,11,456
T002438,V06,157,599,39,795
T002439,V03,196,591,35,822
T002440,V04,158,623,68,849
T002441,V06,155,489,28,672
T002442,V02,167,528,52,747
T002443,V02,168,607,13,788
T002444,V06,192,330,45,567
T002445,V05,179,459,17,655
T002446,V06,130,332,46,508
T002447,V01,165,499,24,688
T002448,V01,184,654,55,893
T002449,V05,140,288,33,461
T002450,V06,142,244,30,416
T002451,V01,197,320,48,565
T002452,V07,133,420,128,681
T002453,V11,128,566,55,749
T002454,V03,172,530,35,737
T002455,V01,192,335,27,554
T002456,V02,152,458,31,641
T002457,V06,184,160,25,369
T002458,V01,172,382,20,574
T002459,V08,142,211,63,416
T002460,V04,177,412,16,605
T002461,V05,154,557,54,765
T002462,V10,191,558,35,784
T002463,V12,120,630,63,813
T002464,V08,161,280,62,503
T002465,V04,193,455,52,700
T002466,V03,133,599,55,787
T002467,V04,134,621,57,812
T002468,V01,153,612,17,782
T002469,V03,165,257,21,443
T002470,V11,159,270,46,475
T002471,V01,145,323,12,480
T002472,V04,137,177,45,359
T002473,V10,157,162,29,348
T002474,V06,157,200,51,408
T002475,V03,193,346,55,594
T002476,V02,177,300,55,532
T002477,V09,195,485,17,697
T002478,V10,175,387,16,578
T002479,V06,143,242,11,396
T002480,V11,178,399,19,596
T002481,V06,144,243,68,455
T002482,V05,135,182,28,345
T002483,V09,147,357,36,540
T002484,V01,189,395,60,644
T002485,V06,154,315,49,518
T002486,V06,132,237,45,414
T002487,V08,151,468,35,654
T002488,V07,129,254,172,555
T002489,V05,140,208,38,386
T002490,V08,136,412,14,562
T002491,V03,129,143,44,316
T002492,V08,192,582,58,832
T002493,V04,173,497,57,727
T002494,V08,178,511,33,722
T002495,V01,123,603,53,779
T002496,V08,122,574,49,745
T992847,V07,183,417,40,640
T002498,V12,154,264,62,480
T002499,V04,149,571,36,756
T002500,V08,165,175,33,373
T002501,V06,162,490,19,671
T002502,V12,171,377,31,579
T002503,V09,198,603,28,829
T002504,V03,120,283,23,426
T002505,V07,173,245,180,598
T002506,V05,133,659,41,833
T002507,V05,155,253,24,432
T002508,V10,179,510,28,717
T002509,V12,144,121,35,300
T002510,V04,191,217,55,463
T002511,V04,147,609,51,807
T002512,V02,126,192,63,381
T002513,V05,136,456,45,637
T002514,V07,143,187,188,518
T002515,V05,172,336,36,544
T002516,V11,158,158,31,347
T002517,V11,133,571,55,759
T002518,V02,140,303,39,482
T002519,V02,132,501,44,677
T002520,V01,122,199,41,362
T002521,V10,148,156,27,331
T002522,V04,157,507,26,690
T002523,V05,154,670,11,835
T002524,V11,152,398,54,604
T002525,V07,164,124,181,469
T002526,V07,151,208,66,425
T002527,V09,156,473,26,655
T002528,V04,160,542,21,723
T002529,V08,132,421,43,596
T002530,V03,161,435,29,625
T002531,V06,122,297,25,444
T991114,V03,151,199,64,414
T002533,V04,192,261,69,522
T002534,V01,146,401,45,592
T002535,V03,160,268,26,454
T002536,V05,176,600,10,786
T002537,V03,182,336,32,550
T002538,V03,191,160,59,410
T002539,V03,142,407,53,602
T002540,V07,196,184,189,569
T002541,V06,136,213,18,367
T002542,V09,150,174,38,362
T002543,V01,164,537,54,755
T002544,V02,191,396,28,615
T002545,V05,148,387,49,584
T002546,V12,186,594,18,798
T002547,V10,141,531,68,740
T002548,V09,166,537,18,721
T002549,V02,133,329,33,495
T002550,V11,145,132,20,297
T002551,V05,198,420,25,643
T992098,V04,189,155,57,401
T002553,V08,155,233,63,451
T002554,V06,152,608,39,799
T002555,V08,134,352,66,552
T002556,V04,176,489,50,715
T002557,V05,162,409,50,621
T002558,V06,178,459,47,684
T002559,V09,125,612,61,798
T002560,V04,191,271,59,521
T002561,V03,174,245,16,435
T002562,V06,131,212,54,397
T002563,V12,166,458,41,665
T002564,V03,149,318,66,533
T002565,V06,160,631,62,853
T002566,V02,164,532,34,730
T002567,V12,195,466,20,681
T002568,V03,124,537,67,728
T002569,V12,140,365,53,558
T002570,V11,145,380,65,590
T002571,V06,135,285,65,485
T002572,V03,129,220,39,388
T002573,V05,165,453,36,654
T002574,V06,132,494,62,688
T002575,V05,132,584,54,770
T002576,V06,189,427,54,670
T002577,V12,140,558,13,711
T002578,V09,183,405,68,656
T002579,V10,142,353,26,521
T002580,V03,138,373,20,531
T993519,V07,133,141,113,387
T002582,V07,134,398,149,681
T002583,V06,169,385,60,614
T002584,V03,149,486,25,660
T002585,V01,198,524,59,781
T002586,V06,166,512,58,736
T995115,V04,136,453,41,630
T002588,V04,145,411,56,612
T002589,V02,133,177,41,351
T002590,V09,147,325,20,492
T002591,V02,173,544,29,746
T002592,V03,192,555,53,800
T002593,V12,169,495,66,730
T002594,V12,195,354,52,601
T002595,V02,193,544,35,772
T002596,V12,164,388,18,570
T002597,V04,154,221,57,432
T002598,V12,148,184,49,381
T002599,V09,163,475,29,667
T002600,V02,142,677,49,868
T002601,V05,178,581,66,825
T002602,V02,166,466,56,688
T002603,V06,169,242,39,450
T002604,V08,171,516,34,721
T002605,V11,181,259,26,466
T002606,V01,197,483,16,696
T002607,V09,122,399,26,547
T002608,V12,153,239,24,416
T002609,V09,154,198,32,384
T002610,V04,194,399,43,636
T002611,V10,141,251,47,439
T002612,V05,167,175,13,355
T002613,V12,136,638,16,790
T002614,V12,186,273,52,511
T002615,V01,184,209,14,407
T002616,V06,133,303,37,473
T002617,V10,181,446,30,657
T002618,V03,172,544,61,777
T002619,V10,129,543,55,727
T996997,V10,159,268,57,484
T002621,V03,178,464,34,676
T002622,V08,156,606,48,810
T002623,V11,175,474,54,703
T002624,V02,177,457,11,645
T002625,V08,133,148,34,315
T002626,V11,191,320,54,565
T002627,V07,194,625,170,989
T002628,V11,170,138,51,359
T002629,V06,181,547,16,744
T002630,V10,171,437,44,652
T998038,V12,159,527,16,702
T002632,V06,148,256,32,436
T002633,V12,143,245,55,443
T002634,V12,198,611,21,830
T002635,V05,147,588,69,804
T002636,V02,149,416,58,623
T002637,V09,164,547,44,755
T002638,V11,127,581,55,763
T002639,V11,148,245,36,429
T002640,V02,124,143,17,284
T002641,V10,129,215,22,366
T002642,V09,140,589,18,747
T002643,V03,159,284,63,506
T002644,V02,188,685,61,934
T002645,V02,192,381,10,583
T002646,V12,144,282,28,454
T002647,V11,174,559,42,775
T002648,V02,136,365,69,570
T002649,V05,125,264,49,438
T002650,V04,156,234,35,425
T002651,V06,172,629,38,839
T002652,V01,194,206,47,447
T002653,V12,162,552,67,781
T002654,V03,197,442,23,662
T002655,V03,194,164,59,417
T002656,V07,188,370,122,680
T002657,V09,153,346,57,556
T993484,V06,187,590,69,846
T002659,V01,177,371,58,606
T002660,V05,145,616,36,797
T002661,V01,122,302,31,455
T002662,V10,163,554,67,784
T002663,V04,137,484,67,688
T002664,V09,196,560,40,796
T002665,V03,165,579,26,770
T002666,V05,188,144,49,381
T002667,V07,183,422,102,707
T002668,V02,196,179,64,439
T002669,V03,183,340,55,578
T002670,V08,167,230,56,453
T002671,V03,194,411,20,625
T002672,V11,161,679,59,899
T002673,V11,135,126,45,306
T002674,V01,131,190,43,364
T002675,V05,132,459,37,628
T002676,V04,140,256,11,407
T002677,V01,189,560,53,802
T002678,V01,144,157,48,349
T002679,V05,133,229,51,413
T002680,V05,149,457,51,657
T993225,V08,131,561,43,735
T002682,V01,186,237,55,478
T002683,V07,138,196,110,444
T002684,V02,166,140,15,321
T002685,V10,188,491,43,722
T002686,V10,173,222,14,409
T002687,V08,143,212,37,392
T002688,V06,190,229,46,465
T002689,V10,144,229,65,438
T002690,V11,147,223,61,431
T002691,V08,198,245,66,509
T002692,V07,193,497,58,748
T002693,V11,177,397,28,602
T002694,V05,196,472,63,731
T002695,V08,141,542,61,744
T002696,V02,197,403,27,627
T002697,V11,143,289,52,484
T002698,V07,197,433,68,698
T002699,V04,164,512,69,745
T002700,V09,129,542,11,682
T002701,V06,134,338,10,482
T002702,V07,189,138,88,415
T002703,V01,152,548,27,727
T002704,V02,155,264,19,438
T002705,V12,183,339,38,560
T002706,V10,179,451,56,686
T002707,V09,169,521,64,754
T002708,V07,138,640,188,966
T002709,V09,127,584,41,752
T002710,V12,173,540,67,780
T002711,V02,132,478,15,625
T002712,V10,148,503,42,693
T002713,V09,125,284,24,433
T002714,V09,161,485,45,691
T002715,V03,168,257,59,484
T002716,V06,192,137,46,375
T002717,V06,175,152,10,337
T002718,V06,135,437,10,582
T002719,V11,180,173,66,419
T002720,V05,197,517,32,746
T002721,V06,132,312,49,493
T002722,V08,180,183,26,389
T002723,V08,150,616,42,808
T002724,V06,168,587,50,805
T002725,V11,155,258,28,441
T002726,V02,159,477,35,671
T002727,V06,173,651,63,887
T002728,V01,144,274,49,467
T002729,V05,177,539,61,777
T002730,V06,190,140,47,377
T002731,V10,183,549,10,742
T002732,V02,164,166,36,366
T002733,V11,150,393,27,570
T991524,V07,153,451,167,771
T002735,V04,134,248,44,426
T002736,V10,138,265,37,440
T002737,V08,151,169,66,386
T994822,V11,145,581,23,749
