business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-08,08:30,3363321,1783496400.0,1783499100.0,1783496794.0,1783500536.0,11.976903,13.139305114746094,595105,Planned,MALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-22,11:00,4970447,1782124740.0,1782125700.0,1782124993.0,1782126152.0,3.757,3.629819393157959,199900,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-02,12:00,4905335,1780399980.0,1780401300.0,1780400035.0,1780403236.0,8.734,2.755950927734375,139535,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-22,08:30,3430520,1784704080.0,1784708700.0,1784704820.0,1784707748.0,21.319,17.826993942260742,68755,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-04,14:30,3195296,1780583400.0,1780583940.0,1780583279.0,1780584078.0,3.039,3.009955883026123,105805,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Eastgate Office,BUS,2026-05-12,15:30,1225171,1778600700.0,1778603220.0,1778600711.0,1778602636.0,10.901936,9.753087997436523,201380,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-30,21:16,5001004,1782855060.0,1782856260.0,1782854188.0,1782856481.0,9.102491,8.510534286499023,106290,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-11,09:00,5035718,1783758300.0,1783759500.0,1783757729.0,1783759046.0,12.803,12.460272789001465,379035,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-07-16,22:00,1339665,1784240100.0,1784244000.0,1784240427.0,1784244507.0,21.98597,20.74918556213379,153370,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-20,14:30,3133480,1779287400.0,1779290220.0,1779288120.0,1779291166.0,16.702194,16.302579879760742,88830,Planned,MALE,employee,Boarded,,False
orbit-Slc,Eastgate Office,BUS,2026-06-16,11:00,1281526,1781601360.0,1781606700.0,1781602345.0,1781607262.0,34.953182,31.8814754486084,6020,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,12:00,4979511,1782299760.0,1782301500.0,1782299895.0,1782301311.0,5.743,4.95390510559082,331530,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,11:00,4923061,1780913760.0,1780916100.0,1780913933.0,1780916240.0,9.724097,4.546288013458252,29500,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-09,21:15,1220558,1783632600.0,1783634580.0,1783631688.0,1783634933.0,10.693081,13.229430198669434,243705,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-09,15:30,3215034,1781019000.0,1781020200.0,1781019233.0,1781023393.0,6.7028747,8.132004737854004,134990,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-13,02:30,1493569,1781318700.0,1781322060.0,1781318644.0,1781321555.0,22.71,26.554967880249023,622375,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-10,10:00,5032404,1783673640.0,1783676700.0,1783673818.0,1783676303.0,19.330683,20.673622131347656,310350,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Redwood City Center,CAB,2026-07-28,06:30,1553152,,,1785215439.0,1785218322.0,0.0,13.84496021270752,330295,Adhoc,MALE,escort,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-04,15:30,3056490,1777908600.0,1777913460.0,1777908585.0,1777913315.0,24.39082,26.78702163696289,82795,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-01,22:16,4903500,1780353060.0,1780356000.0,1780352361.0,1780356281.0,20.586,28.324703216552734,326250,Planned,MALE,vendormgr,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,12:00,4979511,1782299760.0,1782301500.0,,,5.743,0.0,106595,,FEMALE,employee,Not Boarded,NO_SHOW,True
orbit-Slc,Eastgate Office,BUS,2026-05-12,15:30,1225171,1778600700.0,1778603520.0,1778600760.0,1778603038.0,12.299972,10.321940422058104,111285,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-04,08:30,3191358,1780559280.0,1780561500.0,1780559196.0,1780561248.0,9.1970005,8.888167381286621,8840,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-14,11:00,1227173,1784023620.0,1784025900.0,1784023295.0,1784025793.0,2.9557967,4.797303199768066,389635,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-11,Non Shift,4938076,1781220720.0,1781224260.0,1781220836.0,1781223573.0,30.891,30.92217063903809,98300,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-09,15:30,3215034,1781019000.0,1781019660.0,1781019155.0,1781022287.0,3.90227,3.801306962966919,413110,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-23,15:30,3440171,1784820600.0,1784823720.0,1784820591.0,1784824085.0,19.673,21.27828788757324,93015,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-22,09:00,5068986,1784707500.0,1784709900.0,1784707543.0,1784711222.0,14.522392,12.058294296264648,512020,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-03,03:30,1479563,1780458300.0,1780459380.0,1780458419.0,1780459658.0,6.938,6.865434169769287,336480,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,13:00,4979717,1782305160.0,1782305700.0,1782305673.0,1782305988.0,1.652211,1.2368974685668943,442335,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-06,08:30,3351040,1783322040.0,1783326300.0,1783321759.0,1783325490.0,18.444,18.22966957092285,567220,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-08,00:30,1526136,1783471500.0,1783474740.0,1783471602.0,1783474410.0,23.159,21.095794677734375,174150,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-14,11:00,1227173,1784024460.0,1784025900.0,1784024678.0,1784025793.0,2.8256068,4.709879398345947,394785,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-12,08:30,3092178,1778572200.0,1778574300.0,1778572176.0,1778574160.0,9.313001,8.795411109924316,250000,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-24,16:30,3446878,1784910600.0,1784915820.0,1784911122.0,1784915329.0,20.979166,18.09644317626953,413120,Planned,MALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,BUS,2026-05-08,15:30,1220558,1778255100.0,1778260800.0,1778254935.0,1778260623.0,26.829039,27.22840118408203,209130,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-15,09:00,3395972,1784103840.0,1784105700.0,1784103672.0,1784105729.0,6.9241667,7.39078426361084,286060,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-26,17:30,4885313,1779816600.0,1779820500.0,,,2.458,0.0,162395,,MALE,employee,Not Boarded,NO_SHOW,True
catalyst-Sac,Santa Clara Office,CAB,2026-07-08,00:30,1526136,1783471500.0,1783472220.0,1783471820.0,1783472395.0,3.056,2.803417682647705,716945,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-10,18:15,1166525,1781116200.0,1781116980.0,1781114550.0,1781119382.0,4.5828915,5.964788436889648,387085,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-15,10:00,4945094,1781516520.0,1781517300.0,1781516514.0,1781517486.0,3.44594,3.073646545410156,144275,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-25,02:00,1551195,1784945700.0,1784949240.0,1784945584.0,1784947918.0,26.976,22.05527687072754,576125,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-16,09:00,3249808,1781598720.0,1781600100.0,,,3.746,0.0,671525,,FEMALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-18,23:15,1126673,1779147000.0,1779147540.0,1779146144.0,1779147971.0,4.20819,6.0797529220581055,312395,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-15,10:00,4945094,1781516520.0,1781517300.0,1781516515.0,1781517486.0,3.44594,3.0703766345977783,309805,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Eastgate Office,CAB,2026-06-08,22:00,1267152,1780956900.0,1780959840.0,1780956697.0,1780959783.0,16.473225,18.05745506286621,5680,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-23,13:00,4975216,1782215940.0,1782218700.0,1782215817.0,1782220362.0,15.76872,14.945305824279783,437325,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-02,12:00,4905335,1780399980.0,1780401300.0,,,8.734,0.0,149070,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,CAB,2026-07-28,06:00,5088813,1785215220.0,1785217500.0,1785215638.0,1785218181.0,24.79,25.096189498901367,275700,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-26,17:30,4885313,1779816600.0,1779819900.0,1779816605.0,1779818079.0,1.54,1.4212294816970823,407165,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-12,19:16,4843730,1778614260.0,1778617140.0,1778612999.0,1778618159.0,27.116,18.40085220336914,16845,Planned,MALE,projectmgr,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-22,08:30,3430520,1784704800.0,1784708700.0,1784705329.0,1784707748.0,17.552,15.511491775512695,508480,Planned,MALE,projectmgr,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-29,10:00,1145906,1780043400.0,1780047900.0,1780043580.0,1780046141.0,16.87,16.65654754638672,329385,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,13:00,4979717,1782304980.0,1782305700.0,,,3.442596,0.0,382615,,FEMALE,employee,Not Boarded,NO_SHOW,True
orbit-Slc,Lakeside Commons,CAB,2026-05-28,03:30,1250449,1779939900.0,1779943740.0,1779940028.0,1779941889.0,21.367474,20.40109634399414,266860,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-29,20:16,4996313,1782765060.0,1782766320.0,,,7.527,0.0,201085,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,CAB,2026-06-15,22:16,4948709,1781562660.0,1781564280.0,1781561890.0,1781564628.0,17.723,17.67803192138672,85820,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-07-18,04:30,1542206,1784349900.0,1784351280.0,1784349815.0,1784351282.0,10.864,10.87155055999756,243125,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-15,15:00,3242399,1781535600.0,1781538960.0,1781535648.0,1781539112.0,16.189589,16.23395538330078,91915,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-07,18:16,4830144,1778178660.0,1778180400.0,,,14.544,0.0,405825,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-06-05,09:00,3197941,1780647660.0,1780649700.0,1780648371.0,1780651020.0,8.205187,8.212444305419922,84935,Planned,MALE,projectmgr,Boarded,,False
orbit-Slc,Lakeside Commons,BUS,2026-06-10,11:00,1270826,1781082840.0,1781088300.0,1781082845.0,1781089117.0,22.954132,22.048688888549805,276175,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,13:00,4979717,1782304980.0,1782305700.0,,,3.442596,0.0,443720,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-07-23,09:30,3435764,1784796840.0,1784798700.0,1784797231.0,1784799398.0,4.433,3.4135231971740723,370380,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-04,09:00,3192997,1780560480.0,1780563300.0,1780560388.0,1780563024.0,12.777,14.51429843902588,620660,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-15,12:00,1229584,1784114760.0,1784115900.0,1784114787.0,1784116448.0,3.4873757,3.260185956954956,348510,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-08,11:00,1161551,1780911600.0,1780915500.0,1780912673.0,1780916110.0,15.289,15.024191856384276,95070,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,11:00,4923061,1780913880.0,1780916100.0,1780914080.0,1780916240.0,8.734,4.546288013458252,453245,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-12,11:00,4841772,1778578140.0,1778582700.0,1778578017.0,1778583330.0,21.265,19.441482543945312,14795,Planned,MALE,projectmgr,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-25,19:15,1138846,1779737400.0,1779739140.0,1779736447.0,1779739750.0,9.31806,11.397472381591797,266435,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-07,10:30,3357560,1783415220.0,1783419900.0,1783414813.0,1783420153.0,16.136,15.957737922668455,89515,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,11:00,4923061,1780913880.0,1780916100.0,,,8.734,0.0,306330,,FEMALE,employee,Not Boarded,NO_SHOW,True
catalyst-Sac,Redwood City Center,CAB,2026-06-03,06:30,1479328,1780465440.0,1780466400.0,1780465525.0,1780466080.0,5.097,4.803497791290283,267000,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-05,20:16,4919577,1780691460.0,1780692300.0,,,7.425,0.0,418165,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,BUS,2026-05-26,17:30,4885313,1779816600.0,1779820200.0,1779816744.0,1779818898.0,1.9169999,2.7111597061157227,414785,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-16,19:16,4952620,1781638260.0,1781642280.0,1781637426.0,1781643209.0,22.45,20.42605781555176,405935,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-05-20,00:30,1462655,,,1779237903.0,1779240429.0,0.0,16.60499382019043,341540,Adhoc,MALE,escort,Boarded,,False
catalyst-Sac,Redwood City Center,CAB,2026-05-06,20:30,1446396,1778100300.0,1778105160.0,1778100445.0,1778105058.0,20.212,19.94368553161621,342570,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-30,21:16,5001004,1782855060.0,1782855600.0,,,4.158,0.0,197720,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,CAB,2026-05-04,23:16,4820103,,,1777936667.0,1777937349.0,0.0,2.8628218173980713,77980,Adhoc,MALE,escort,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-29,20:16,4996313,1782765060.0,1782765660.0,,,4.535,0.0,487515,,MALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-12,16:30,3094765,1778603400.0,1778605140.0,1778604730.0,1778606636.0,8.534,8.705215454101562,643320,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-22,11:00,4970447,1782124680.0,1782125700.0,1782124745.0,1782126152.0,4.093,3.808385610580444,307625,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-15,10:00,4945094,1781516820.0,1781517300.0,1781517024.0,1781517486.0,2.286,2.0985898971557617,390965,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-11,09:00,4934531,1781164020.0,1781167500.0,,,19.006,0.0,82375,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-06-01,15:00,3176583,1780326000.0,1780327500.0,1780326624.0,1780328550.0,8.443,7.960644245147705,473350,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Crestwood Campus,CAB,2026-06-17,04:00,1497840,1781669700.0,1781674800.0,1781669596.0,1781673919.0,34.626,35.236141204833984,266405,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-23,21:16,5076766,1784842260.0,1784846700.0,1784841484.0,1784846756.0,30.349983,30.194982528686523,120960,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-05,20:16,4919577,1780691460.0,1780692180.0,1780690616.0,1780692713.0,7.2510004,7.065266132354736,492140,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-08,14:30,3210359,1780929000.0,1780930260.0,1780929239.0,1780930902.0,8.481,7.912461280822754,9530,Planned,MALE,projectmgr,Boarded,,False
catalyst-Sac,Redwood City Center,CAB,2026-06-03,06:30,1479328,1780464840.0,1780466400.0,1780465143.0,1780466080.0,5.6930003,5.283053874969482,215805,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-05-05,22:00,1214479,1778019300.0,1778024160.0,1778019888.0,1778023945.0,26.20012,29.290363311767575,190800,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-17,20:15,1124456,1779049800.0,1779053820.0,1779048865.0,1779051054.0,15.925148,16.738554000854492,167520,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-25,08:30,3150964,1779695580.0,1779697500.0,1779695636.0,1779698894.0,7.8787017,8.657083511352539,96940,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-27,12:00,4888002,1779879840.0,1779882300.0,1779879330.0,1779882469.0,17.32,13.6961669921875,32360,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-30,21:16,5101170,1785447060.0,1785451740.0,1785446254.0,1785449959.0,21.921999,21.151443481445312,24670,Planned,FEMALE,projectmgr,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-06-11,19:30,1490605,1781197500.0,1781204400.0,1781197597.0,1781202917.0,29.445,25.593591690063477,683265,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-26,17:30,4885313,1779816600.0,1779820200.0,,,1.9169999,0.0,315470,,FEMALE,employee,Not Boarded,NO_SHOW,True
catalyst-Sac,Santa Clara Office,CAB,2026-06-03,03:30,1479563,1780458300.0,1780458720.0,1780458288.0,1780458922.0,2.592,2.4664833545684814,426060,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-24,09:00,5077884,1784880180.0,1784882700.0,1784880192.0,1784881806.0,7.477,7.896058082580566,143695,Planned,MALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-05-05,22:00,1214479,,,1778019793.0,1778023983.0,0.0,29.901077270507812,261815,Adhoc,MALE,escort,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-26,09:30,3155892,1779785220.0,1779787500.0,,,6.999,0.0,629405,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,BUS,2026-06-24,12:00,4979511,1782299760.0,1782301500.0,,,5.743,0.0,309670,,MALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,CAB,2026-07-30,21:16,5101170,1785447060.0,1785451440.0,1785446393.0,1785449791.0,21.128,20.502544403076172,38860,Planned,MALE,projectmgr,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-07,10:30,3357560,1783415880.0,1783419900.0,1783415777.0,1783420153.0,14.187,14.075138092041016,673020,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-18,23:15,1126673,1779147000.0,1779148380.0,1779145898.0,1779148528.0,6.650322,9.254974365234377,3045,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-07,11:00,5021198,1783419300.0,1783421100.0,1783419280.0,1783421536.0,5.394062,7.34263801574707,143280,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-20,14:30,3133480,1779287400.0,1779289920.0,,,15.415,0.0,140565,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,BUS,2026-07-22,09:00,5068986,1784707920.0,1784709900.0,1784708076.0,1784711222.0,11.821,10.263545989990234,169195,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-18,23:15,1126673,1779147000.0,1779147540.0,1779146160.0,1779147464.0,2.6339061,3.748394012451172,207475,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,BUS,2026-06-24,11:00,1296329,1782294900.0,1782297900.0,1782297917.0,1782299790.0,5.260585,9.098325729370115,240430,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,11:00,4923061,1780913880.0,1780916100.0,1780914091.0,1780916240.0,8.734,4.546288013458252,125265,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-12,19:16,4843730,1778614260.0,1778618100.0,1778613632.0,1778619448.0,33.41454,24.25426483154297,333925,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-25,19:15,1138846,,,1779736458.0,1779739791.0,0.0,11.421622276306152,321425,Adhoc,MALE,escort,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-09,21:15,1220558,1783632600.0,1783634040.0,1783631621.0,1783634497.0,8.589928,11.081602096557615,108855,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,BUS,2026-06-24,11:00,1296329,1782294600.0,1782297900.0,1782297170.0,1782299790.0,7.7629433,11.302619934082031,1825,Planned,FEMALE,projectmgr,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-15,09:00,3395972,1784103240.0,1784105700.0,1784103050.0,1784105729.0,7.1998973,7.858082294464111,296055,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-29,15:30,3169674,1780068600.0,1780070280.0,,,8.32,0.0,389680,,FEMALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,CAB,2026-07-20,16:16,5063021,1784565060.0,1784568420.0,1784564874.0,1784569890.0,25.045,26.872241973876953,111040,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-27,12:00,1142057,1779879180.0,1779882300.0,1779879109.0,1779881590.0,13.904765,12.901528358459473,291390,Planned,MALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-05-28,03:30,1250449,,,1779940009.0,1779943306.0,0.0,35.26399612426758,251905,Adhoc,MALE,escort,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-26,10:00,4883408,1779785280.0,1779788700.0,,,9.66584,0.0,479740,,MALE,employee,Not Boarded,NO_SHOW,True
catalyst-Sac,Santa Clara Office,CAB,2026-05-20,00:30,1462655,1779237900.0,1779239040.0,1779237936.0,1779239262.0,8.153,9.388132095336914,225150,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Crestwood Campus,CAB,2026-06-26,21:30,1512646,1782510300.0,1782510780.0,1782510334.0,1782510997.0,2.579,2.5600945949554443,239790,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,11:00,4923061,1780913880.0,1780916100.0,1780914092.0,1780916240.0,8.734,4.546288013458252,23635,Planned,MALE,projectmgr,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-15,12:00,1229584,1784115120.0,1784115900.0,,,3.388,0.0,162810,,MALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-09,07:30,3213241,1780988220.0,1780989900.0,1780988586.0,1780989963.0,7.803536,8.048067092895508,1265,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-25,12:00,4983947,1782386580.0,1782387900.0,1782386853.0,1782388307.0,5.345,4.860426425933838,206580,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Eastgate Office,BUS,2026-06-22,11:00,1291894,1782121800.0,1782125100.0,1782122590.0,1782126030.0,15.890591,17.017236709594727,3795,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-08,16:30,3208274,1780936200.0,1780938180.0,1780936495.0,1780939942.0,10.294,12.45635223388672,124040,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-24,12:00,4979511,1782299760.0,1782301500.0,1782299872.0,1782301311.0,5.743,4.95390510559082,136475,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-02,09:30,3179533,1780387560.0,1780392300.0,1780388440.0,1780394543.0,16.917,16.570575714111328,260980,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-13,23:15,1118762,1778715000.0,1778716020.0,1778713670.0,1778715713.0,3.9184558,5.975615978240967,135105,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-27,07:30,3161235,1779864480.0,1779866700.0,1779864977.0,1779867787.0,13.826,16.342998504638672,10465,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-23,19:00,1506018,1782242100.0,1782247440.0,1782241884.0,1782249093.0,36.943,36.74802780151367,239635,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-05-05,22:00,1214479,1778019300.0,1778023620.0,1778019860.0,1778023259.0,23.455997,26.206005096435547,194055,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-22,11:00,4970447,1782124740.0,1782125700.0,1782124984.0,1782126152.0,3.757,3.629819393157959,60495,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-15,14:30,3246055,1781533800.0,1781535240.0,1781534292.0,1781536265.0,8.954,8.698486328125,583060,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-14,17:30,3394127,1784050200.0,1784054340.0,1784050187.0,1784054027.0,17.169622,21.383588790893555,333745,Planned,MALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,BUS,2026-06-24,11:00,1296329,1782294600.0,1782297900.0,,,7.7629433,0.0,28355,,FEMALE,projectmgr,Not Boarded,NO_SHOW,True
pinnacle-Slc,Oakmont Office,CAB,2026-05-12,08:30,3092178,1778572440.0,1778574300.0,1778572649.0,1778574160.0,8.852,8.356143951416016,82105,Planned,FEMALE,employee,Boarded,,False
